E510 Хлорид аммония (Ammonium chloride),Халяль
E511 Хлорид магния (Magnesium chloride),Халяль
E512 Не указано,Халяль
E513 Серная кислота (Sulphuric acid),Халяль
E514 Сульфаты натрия (Sodium sulphates),Халяль
E514(i) Не указано,Халяль
E514(ii) Не указано,Халяль
E515 Сульфаты калия (Potassium sulphates),Халяль
E515(i) Не указано,Халяль
E515(ii) Не указано,Халяль
E516 Сульфат кальция (Calcium sulphate),Халяль
E517 Сульфат аммония (Ammonium sulphate),Халяль
E518 Сульфат магния ( Magnesium sulfate),Халяль
E519 Не указано,Халяль
E520 Сульфат алюминия (Aluminium sulphate),Халяль
"E521 Сульфат алюминия-натрия, Квасцы алюмо-натриевые (Aluminium sodium sulphate)",Халяль
"E522 Сульфат алюминия-калия, Квасцы алюмо-калиевые (Aluminium potassium sulphate)",Халяль
"E523 Сульфат алюминия-аммония, Квасцы алюмоаммиачные (Aluminium ammonium sulphate)",Халяль
E524 Гидроксид натрия (Sodium hydroxide),Халяль
E525 Гидроксид калия (Potassium hydroxide),Халяль
E526 Гидроксид кальция (Calcium hydroxide),Халяль
E527 Г идроксид аммония (Ammonium hydroxide),Халяль
E528 Г идроксид магния (Magnesium hydroxide),Халяль
E529 Оксид кальция (Calcium oxide),Халяль
E530 Оксид магния (Magnesium oxide),Халяль
E534 Не указано,Халяль
E535 Ферроцианид натрия (Sodium ferrocyanide),Халяль
E536 Ферроцианид калия (Potassium ferrocyanide),Халяль
E537 Не указано,Макрух
E538 Ферроцианид кальция (Calcium ferrocyanide),Халяль
E539 Не указано,Халяль
E541 Алюмофосфат натрия кислый (Sodium aluminium phosphate acidic),Халяль
E541(i) Не указано,Халяль
E541(ii) Не указано,Халяль
"E542 Фосфат костный (фосфат кальция) (BONE PHOSPHATE(essentiale Calcium phosphate, tribasic)",Машбух
E550 Не указано,Халяль
E550(i) Не указано,Халяль
E550(ii) Не указано,Халяль
E551 Диоксид кремния аморфный (Silicon dioxide amorphous),Халяль
E552 Силикат кальция (Calcium silicate),Халяль
E553 Силикаты магния (Magnesium silicate):,Халяль
"E553(i) Силикат магния (Magnesium silicate),",Халяль
"E553(ii) Трисиликат магния (Magnesium trisilicate),",Халяль
E553(iii) Тальк (Talc),Халяль
E553a Не указано,Халяль
E553b Не указано,Халяль
E554 Алюмосиликат натрия (Sodium aluminium silicate),Халяль
E555 Алюмосиликат калия (Potassium aluminium silicate),Халяль
E556 Алюмосиликат кальция (Calcium aluminium silicate),Машбух
E557 Не указано,Халяль
E558 Бентонит (BENTONITE),Халяль
E559 Алюмосиликат (каолин) - Alluminium silicate (kaoliin),Халяль
E560 Не указано,Халяль
E570 Жирные кислоты (Fatty acids),Машбух
E572 Не указано,Машбух
E574 Глюконовая кислота (D-) (Gluconic acid),Халяль
E575 Глюконо-дельта-лактон (Glucono-delta-lactone),Халяль
E576 Глюконат натрия (Sodium gluconate),Халяль
E577 Г люконат калия (Potassium gluconate),Халяль
E578 Глюконат кальция (Calcium gluconate),Халяль
E579 Глюконат железа (Ferrous gluconate),Халяль
E580 Глюконат магния (Magnesium gluconate),Халяль
